code,DESCRIPTION_EXTERNAL ,MELDB_concept,description,DESCRIPTION,CONCEPT TYPE
E26y.,,ANXIETY,,,Long-term condition
E26y0,,ANXIETY,,,Long-term condition
E26yz,,ANXIETY,,,Long-term condition
E26z.,,ANXIETY,,,Long-term condition
E278.,,ANXIETY,,,Long-term condition
E2780,,ANXIETY,,,Long-term condition
E2781,,ANXIETY,,,Long-term condition
E2782,,ANXIETY,,,Long-term condition
E278z,,ANXIETY,,,Long-term condition
E28..,,ANXIETY,,,Long-term condition
E280.,,ANXIETY,,,Long-term condition
E281.,,ANXIETY,,,Long-term condition
E282.,,ANXIETY,,,Long-term condition
E283.,,ANXIETY,,,Long-term condition
E2830,,ANXIETY,,,Long-term condition
E2831,,ANXIETY,,,Long-term condition
E283z,,ANXIETY,,,Long-term condition
E284.,,ANXIETY,,,Long-term condition
E28z.,,ANXIETY,,,Long-term condition
E29..,,ANXIETY,,,Long-term condition
E2900,,ANXIETY,,,Long-term condition
E292.,,ANXIETY,,,Long-term condition
E2920,,ANXIETY,,,Long-term condition
E2921,,ANXIETY,,,Long-term condition
E2922,,ANXIETY,,,Long-term condition
E2923,,ANXIETY,,,Long-term condition
E2924,,ANXIETY,,,Long-term condition
E2925,,ANXIETY,,,Long-term condition
E292y,,ANXIETY,,,Long-term condition
E292z,,ANXIETY,,,Long-term condition
E293.,,ANXIETY,,,Long-term condition
E2930,,ANXIETY,,,Long-term condition
E2931,,ANXIETY,,,Long-term condition
E2932,,ANXIETY,,,Long-term condition
E293z,,ANXIETY,,,Long-term condition
E294.,,ANXIETY,,,Long-term condition
E29y.,,ANXIETY,,,Long-term condition
E29y0,,ANXIETY,,,Long-term condition
E29y1,,ANXIETY,,,Long-term condition
E29y2,,ANXIETY,,,Long-term condition
E29y3,,ANXIETY,,,Long-term condition
E29y4,,ANXIETY,,,Long-term condition
E29y5,,ANXIETY,,,Long-term condition
E29yz,,ANXIETY,,,Long-term condition
E29z.,,ANXIETY,,,Long-term condition
E2D0.,,ANXIETY,,Disturbance of anxiety and fearfulness childhood/adolescent,Long-term condition
E2D0z,,ANXIETY,,Disturbance anxiety and fearfulness childhood/adolescent NOS,Long-term condition
Eu054,,ANXIETY,,,Long-term condition
Eu341,,ANXIETY,,[X]Persistant anxiety depression,Long-term condition
Eu4..,,ANXIETY,,,Long-term condition
Eu40.,,ANXIETY,,,Long-term condition
Eu400,,ANXIETY,,,Long-term condition
Eu401,,ANXIETY,,,Long-term condition
Eu402,,ANXIETY,,,Long-term condition
Eu403,,ANXIETY,,,Long-term condition
Eu40y,,ANXIETY,,,Long-term condition
Eu40z,,ANXIETY,,,Long-term condition
Eu41.,,ANXIETY,,,Long-term condition
Eu410,,ANXIETY,,,Long-term condition
Eu411,,ANXIETY,,,Long-term condition
Eu412,,ANXIETY,,,Long-term condition
Eu413,,ANXIETY,,,Long-term condition
Eu41y,,ANXIETY,,,Long-term condition
Eu41z,,ANXIETY,,,Long-term condition
Eu42.,,ANXIETY,,,Long-term condition
Eu420,,ANXIETY,,,Long-term condition
